волна,время_T4,H_м,T_мин,глубина_м,пара,лаг_мин,r
1,2023-06-21 21:38:00,0.5923648258165803,5.5,12.24,T4–T1,0.5,0.3992870947516162
1,2023-06-21 21:38:00,0.5923648258165803,5.5,12.24,T4–T2,-1.5,0.6857349781818842
1,2023-06-21 21:38:00,0.5923648258165803,5.5,12.24,T4–T3,2.0,0.5183658808381493
2,2023-06-21 22:00:00,0.5354946179187481,3.5,12.24,T4–T1,3.5,0.5508317953164914
2,2023-06-21 22:00:00,0.5354946179187481,3.5,12.24,T4–T2,0.5,0.7515518226462021
2,2023-06-21 22:00:00,0.5354946179187481,3.5,12.24,T4–T3,0.5,0.6331142636400389
3,2023-06-21 22:19:00,0.9131112051878834,8.0,12.24,T4–T1,-5.5,0.34691708059247695
3,2023-06-21 22:19:00,0.9131112051878834,8.0,12.24,T4–T2,-5.5,0.41110831989650914
3,2023-06-21 22:19:00,0.9131112051878834,8.0,12.24,T4–T3,-3.5,0.5562784561672997
4,2023-06-21 22:29:00,0.8547319472103627,5.5,12.24,T4–T1,-0.5,0.5593593082661611
4,2023-06-21 22:29:00,0.8547319472103627,5.5,12.24,T4–T2,0.0,0.8349161425533664
4,2023-06-21 22:29:00,0.8547319472103627,5.5,12.24,T4–T3,2.5,0.7499066572579344
5,2023-06-21 22:42:00,0.5702001877337946,7.5,12.24,T4–T1,0.0,0.6671593343195401
5,2023-06-21 22:42:00,0.5702001877337946,7.5,12.24,T4–T2,2.5,0.6708211712403083
5,2023-06-21 22:42:00,0.5702001877337946,7.5,12.24,T4–T3,2.5,0.603684491706627
